refcode,cif_path,NH3_uptake_298K_1bar [mmol/g]
COWMIL,cifs/COWMIL.cif,13.91751
COWMOR,cifs/COWMOR.cif,3.961183
COWMUX,cifs/COWMUX.cif,12.86549
COYCEZ,cifs/COYCEZ.cif,0.137684
COYCID,cifs/COYCID.cif,0.059105
CUCSAU,cifs/CUCSAU.cif,0.045491
CUIMDZ01,cifs/CUIMDZ01.cif,0.01305
CUKYAJ,cifs/CUKYAJ.cif,8.590596
CUMDIY,cifs/CUMDIY.cif,2.501682
CUMDOE,cifs/CUMDOE.cif,5.539259
CUNWEO,cifs/CUNWEO.cif,0.147612
CUVGIK,cifs/CUVGIK.cif,0.23449
CUVGOQ,cifs/CUVGOQ.cif,0.30596
CUVTUJ,cifs/CUVTUJ.cif,2.03373
CUVXAT,cifs/CUVXAT.cif,0.092157
CUYWUP,cifs/CUYWUP.cif,0.162541
DANZOJ,cifs/DANZOJ.cif,0.024255
DAPBIH,cifs/DAPBIH.cif,0.047573
DATHAJ,cifs/DATHAJ.cif,5.456025
DAWBIO,cifs/DAWBIO.cif,0.122044
DAWBOU,cifs/DAWBOU.cif,0.118332
DAWBUA,cifs/DAWBUA.cif,0.301094
DAWCAH,cifs/DAWCAH.cif,0.374082
DAWCOV,cifs/DAWCOV.cif,2.471472
DAWWEF,cifs/DAWWEF.cif,1.013924
DAXHIV01,cifs/DAXHIV01.cif,2.708406
DAXHIV,cifs/DAXHIV.cif,2.776243
DAXHUH01,cifs/DAXHUH01.cif,2.727967
DAXHUH,cifs/DAXHUH.cif,2.756167
DEFKUU,cifs/DEFKUU.cif,5.674573
DEGJIK,cifs/DEGJIK.cif,0.072467
DEKHEH,cifs/DEKHEH.cif,0.176007
DEKHUX,cifs/DEKHUX.cif,0.093197
DEQVIF,cifs/DEQVIF.cif,0.336379
DEYJIC,cifs/DEYJIC.cif,8.580721
DEYJOI,cifs/DEYJOI.cif,7.951728
DEYLUQ,cifs/DEYLUQ.cif,1.106185
DEZKAW,cifs/DEZKAW.cif,1.547272
DIDBEZ,cifs/DIDBEZ.cif,0.131605
DIDDOK,cifs/DIDDOK.cif,0.086849
DIXKOL,cifs/DIXKOL.cif,0.889109
DOCKOW,cifs/DOCKOW.cif,0.938266
DONNAW01,cifs/DONNAW01.cif,0.391322
DOTTUC,cifs/DOTTUC.cif,4.269057
DUXKUD,cifs/DUXKUD.cif,2.888997
EBATUY,cifs/EBATUY.cif,1.749449
EBELUU,cifs/EBELUU.cif,0.152689
EBEWIT,cifs/EBEWIT.cif,4.767378
EBEXAM,cifs/EBEXAM.cif,4.859907
EBEXEQ01,cifs/EBEXEQ01.cif,6.192648
EBEXEQ,cifs/EBEXEQ.cif,6.011502
ECAHAT,cifs/ECAHAT.cif,0.183926
ECEZAO01,cifs/ECEZAO01.cif,3.603036
ECEZAO,cifs/ECEZAO.cif,2.865794
ECODIK,cifs/ECODIK.cif,1.963736
ECOLEP,cifs/ECOLEP.cif,5.099937
ECUDIR,cifs/ECUDIR.cif,0.313704
EDAFUM,cifs/EDAFUM.cif,0.058932
EDAGEX,cifs/EDAGEX.cif,0.054158
EDUSIF,cifs/EDUSIF.cif,0.007031
EFOSUO,cifs/EFOSUO.cif,3.910596
EGATOW,cifs/EGATOW.cif,8.127022
EGEJIK,cifs/EGEJIK.cif,0.024004
EGELUY01,cifs/EGELUY01.cif,0.060358
EGELUY,cifs/EGELUY.cif,0.188272
EHALOP,cifs/EHALOP.cif,0.061992
EKOPOK,cifs/EKOPOK.cif,6.072641
EKOPUQ,cifs/EKOPUQ.cif,0.080607
ELIJOZ,cifs/ELIJOZ.cif,5.625124
ELIKAM,cifs/ELIKAM.cif,5.33821
ELIKEQ,cifs/ELIKEQ.cif,5.171429
ELIKIU,cifs/ELIKIU.cif,5.074109
ELIKUG,cifs/ELIKUG.cif,4.75357
ELILAN,cifs/ELILAN.cif,4.808669
ELILER,cifs/ELILER.cif,3.784354
EPEWEC,cifs/EPEWEC.cif,3.133604
ESEVIH,cifs/ESEVIH.cif,3.771781
ETEKAQ01,cifs/ETEKAQ01.cif,8.748212
EVUQUI,cifs/EVUQUI.cif,5.429295
EVURAP,cifs/EVURAP.cif,5.409863
EXOTUH,cifs/EXOTUH.cif,0.169191
EYULOA,cifs/EYULOA.cif,1.307182
EYUWAW,cifs/EYUWAW.cif,6.896392
EZUCIM,cifs/EZUCIM.cif,1.284388
FAFMAC,cifs/FAFMAC.cif,0.071502
FAGREM,cifs/FAGREM.cif,4.741367
FAKLIO,cifs/FAKLIO.cif,0.013367
FAKLOU,cifs/FAKLOU.cif,0.012443
FAKMAH,cifs/FAKMAH.cif,0.01555
FALVOF,cifs/FALVOF.cif,12.35164
FATKAO,cifs/FATKAO.cif,6.635261
FATKIW,cifs/FATKIW.cif,7.100882
FATKUI,cifs/FATKUI.cif,7.520513
FATLUJ,cifs/FATLUJ.cif,0.078747
FAZPED,cifs/FAZPED.cif,0.496514
FAZRAA,cifs/FAZRAA.cif,0.427226
FECKAA,cifs/FECKAA.cif,0.610276
FECZAQ,cifs/FECZAQ.cif,0.018469
FEDBEX,cifs/FEDBEX.cif,10.55805
FEFDEB,cifs/FEFDEB.cif,0.023905
FERHAN,cifs/FERHAN.cif,0.125983
FEWGUL,cifs/FEWGUL.cif,1.686399
FEWTUY,cifs/FEWTUY.cif,2.404625
FEXCES,cifs/FEXCES.cif,2.06569
FEYJOJ,cifs/FEYJOJ.cif,6.802723
FEYQIK,cifs/FEYQIK.cif,6.58242
FIFPAM01,cifs/FIFPAM01.cif,0.981827
FIHFAF,cifs/FIHFAF.cif,1.903579
FIHRIZ,cifs/FIHRIZ.cif,0.930274
FIJCUX01,cifs/FIJCUX01.cif,0.106958
FIJCUX,cifs/FIJCUX.cif,0.068914
FIPWOS,cifs/FIPWOS.cif,3.930144
FIPXEJ,cifs/FIPXEJ.cif,4.542455
FIQCEN,cifs/FIQCEN.cif,0.059181
FIQYOU,cifs/FIQYOU.cif,0.058219
FIVYEP01,cifs/FIVYEP01.cif,0.597386
FIVYEP,cifs/FIVYEP.cif,0.594628
FUNBAS,cifs/FUNBAS.cif,0.142345
FUTZOK,cifs/FUTZOK.cif,8.428764
FUWXOL,cifs/FUWXOL.cif,0.455559
FUWYAY,cifs/FUWYAY.cif,4.790898
GACPUX,cifs/GACPUX.cif,0.432894
GACQAE,cifs/GACQAE.cif,0.14364
GADMAA,cifs/GADMAA.cif,1.910468
GAJYUN,cifs/GAJYUN.cif,6.464892
GAJZAU,cifs/GAJZAU.cif,6.293778
GAJZEY,cifs/GAJZEY.cif,6.789092
GAJZIC,cifs/GAJZIC.cif,5.963765
GAJZOI,cifs/GAJZOI.cif,5.906448
GAJZUO,cifs/GAJZUO.cif,7.077582
GALCAZ,cifs/GALCAZ.cif,0.073914
GAXDIS10,cifs/GAXDIS10.cif,0.021163
GAXKOH,cifs/GAXKOH.cif,0.232338
GAXQIH,cifs/GAXQIH.cif,1.902925
GAYGAQ,cifs/GAYGAQ.cif,1.023174
GEDDEA,cifs/GEDDEA.cif,4.966565
GEDQIR,cifs/GEDQIR.cif,7.667475
GEDQOX,cifs/GEDQOX.cif,7.735423
GEDRAK,cifs/GEDRAK.cif,9.000618
GEDRUE,cifs/GEDRUE.cif,8.097316
GEDSAL,cifs/GEDSAL.cif,7.809547
GEDSEP,cifs/GEDSEP.cif,2.509005
GEDSOZ,cifs/GEDSOZ.cif,7.738694
GERNOI,cifs/GERNOI.cif,1.001093
GERPUP,cifs/GERPUP.cif,0.172757
GERWEH,cifs/GERWEH.cif,0.097694
GESFAN,cifs/GESFAN.cif,1.025265
GEVXIQ,cifs/GEVXIQ.cif,11.71786
GEWXAJ,cifs/GEWXAJ.cif,0.721473
GIFKIP,cifs/GIFKIP.cif,0.379191
GINLIA,cifs/GINLIA.cif,3.319978
GIQXEK,cifs/GIQXEK.cif,7.95976
GIQXIO,cifs/GIQXIO.cif,8.701639
GIQXOU,cifs/GIQXOU.cif,8.487024
GIQXUA,cifs/GIQXUA.cif,8.744958
GIQYAH,cifs/GIQYAH.cif,8.628031
GIQYEL,cifs/GIQYEL.cif,7.815049
GIQYIP,cifs/GIQYIP.cif,9.27407
GIQYOV,cifs/GIQYOV.cif,6.242189
GIRDUI,cifs/GIRDUI.cif,3.189474
GITWIQ,cifs/GITWIQ.cif,0.704048
GIYSEN,cifs/GIYSEN.cif,0.487876
GIYSIR,cifs/GIYSIR.cif,0.117041
GIYSOX,cifs/GIYSOX.cif,0.688612
GIYSUD,cifs/GIYSUD.cif,4.910438
GIYTAK,cifs/GIYTAK.cif,4.432842
GIYTIS,cifs/GIYTIS.cif,0.810217
GOGWAB,cifs/GOGWAB.cif,4.858361
GOJDOZ,cifs/GOJDOZ.cif,6.184063
GOKBUE,cifs/GOKBUE.cif,1.97144
GUBVUU,cifs/GUBVUU.cif,0.153698
GULWOA,cifs/GULWOA.cif,4.039622
GUPBUP,cifs/GUPBUP.cif,0.004308
GUWDUY,cifs/GUWDUY.cif,0.178279
GUXPOF,cifs/GUXPOF.cif,0.76783
HAFQOW,cifs/HAFQOW.cif,0.063688
HAFQUC,cifs/HAFQUC.cif,0.081964
HAFTOZ,cifs/HAFTOZ.cif,0.010694
HAFVOB,cifs/HAFVOB.cif,5.653362
HAFVUH,cifs/HAFVUH.cif,0.054517
HAMJOW,cifs/HAMJOW.cif,1.809639
HAMREU,cifs/HAMREU.cif,3.558438
HAMRIY,cifs/HAMRIY.cif,3.574767
HAPVAX,cifs/HAPVAX.cif,6.372681
HAPVEB,cifs/HAPVEB.cif,6.404538
HAWWIN,cifs/HAWWIN.cif,9.052522
HAWWOT,cifs/HAWWOT.cif,10.11494
HAWWUZ,cifs/HAWWUZ.cif,9.72804
HAXMUP,cifs/HAXMUP.cif,0.006771
HEBJAB,cifs/HEBJAB.cif,4.363265
HEBKEG,cifs/HEBKEG.cif,1.431408
HEDCIE,cifs/HEDCIE.cif,0.06371
HEGJUZ,cifs/HEGJUZ.cif,0.108655
HEKTAU,cifs/HEKTAU.cif,0.327734
HIBGIJ,cifs/HIBGIJ.cif,0.04124
HICVOG,cifs/HICVOG.cif,6.005964
HICVUM,cifs/HICVUM.cif,4.876275
HIFGIO,cifs/HIFGIO.cif,0.038236
HIFTUM,cifs/HIFTUM.cif,4.255505
HIFVOI,cifs/HIFVOI.cif,0.031381
HIFWAV,cifs/HIFWAV.cif,0.030406
HIMSAY,cifs/HIMSAY.cif,0.096016
HOGLEV01,cifs/HOGLEV01.cif,0.06982
HOGSIG,cifs/HOGSIG.cif,1.95547
HOMZEP,cifs/HOMZEP.cif,4.352395
HOWPOZ,cifs/HOWPOZ.cif,3.561077
HOWPUF,cifs/HOWPUF.cif,8.487512
HOWQAM,cifs/HOWQAM.cif,2.503397
HURGEH,cifs/HURGEH.cif,1.638374
IBARUA,cifs/IBARUA.cif,3.586545
IBASEL,cifs/IBASEL.cif,3.351014
IBICAZ,cifs/IBICAZ.cif,0.202759
IBICED,cifs/IBICED.cif,0.13043
IBICIH,cifs/IBICIH.cif,0.177459
IBICON,cifs/IBICON.cif,0.132818
IBOZIK,cifs/IBOZIK.cif,0.233394
IBUDOZ,cifs/IBUDOZ.cif,0.05484
IBUYAH,cifs/IBUYAH.cif,1.638939
ICEGED,cifs/ICEGED.cif,5.221866
ICORAV,cifs/ICORAV.cif,6.75621
ICOWON,cifs/ICOWON.cif,6.817418
IFASOZ,cifs/IFASOZ.cif,3.052574
IFEHUY,cifs/IFEHUY.cif,5.298336
IFENOY01,cifs/IFENOY01.cif,0.54987
IFENOY02,cifs/IFENOY02.cif,0.821339
IFEPUG,cifs/IFEPUG.cif,0.628281
IFEQAN,cifs/IFEQAN.cif,0.645316
IFEQIV,cifs/IFEQIV.cif,0.528227
IGAHAB,cifs/IGAHAB.cif,2.373334
IJASOC,cifs/IJASOC.cif,5.251605
IKETAU,cifs/IKETAU.cif,10.95683
IKETEY,cifs/IKETEY.cif,10.5954
IKETOH,cifs/IKETOH.cif,0.041681
IKETOI,cifs/IKETOI.cif,10.2619
IKEVAW,cifs/IKEVAW.cif,10.15469
ILIFOY,cifs/ILIFOY.cif,0.086633
ILIFUE,cifs/ILIFUE.cif,0.099807
ILIGAL,cifs/ILIGAL.cif,0.080043
ILIGEP,cifs/ILIGEP.cif,0.121507
ILOJOJ,cifs/ILOJOJ.cif,0.147007
INIQUR,cifs/INIQUR.cif,3.083715
INIRAY,cifs/INIRAY.cif,1.328469
INOVEN,cifs/INOVEN.cif,6.337082
IPIFAP,cifs/IPIFAP.cif,0.008133
IPIJUM,cifs/IPIJUM.cif,7.851072
IQEWOQ,cifs/IQEWOQ.cif,0.034533
ISENUQ,cifs/ISENUQ.cif,1.939898
ISEQIH,cifs/ISEQIH.cif,4.083777
ITIWIS,cifs/ITIWIS.cif,2.139585
ITIWOY,cifs/ITIWOY.cif,2.464177
ITIWUE,cifs/ITIWUE.cif,1.939184
IVEGEV,cifs/IVEGEV.cif,0.065169
IVEHEW,cifs/IVEHEW.cif,2.491179
IWELIG01,cifs/IWELIG01.cif,2.667947
IWELIG,cifs/IWELIG.cif,2.73016
IXAKAU,cifs/IXAKAU.cif,1.021529
IXISAJ,cifs/IXISAJ.cif,0.686699
IXISOX,cifs/IXISOX.cif,0.732777
IXODUV,cifs/IXODUV.cif,0.043757
IXOFAD,cifs/IXOFAD.cif,0.037804
IXOFEH,cifs/IXOFEH.cif,0.042726
IXOFIL,cifs/IXOFIL.cif,0.045128
IXOFOR,cifs/IXOFOR.cif,0.047019
IXOFUX01,cifs/IXOFUX01.cif,0.045215
IXOFUX,cifs/IXOFUX.cif,0.042682
IYUJAO,cifs/IYUJAO.cif,0.464787
IZUMUM,cifs/IZUMUM.cif,0.097895
JASNAT,cifs/JASNAT.cif,0.275313
JAVNIE,cifs/JAVNIE.cif,0.763198
JEBCOJ,cifs/JEBCOJ.cif,3.632121
JEDJUY,cifs/JEDJUY.cif,8.127995
JEJWOL,cifs/JEJWOL.cif,3.381788
JETZAK,cifs/JETZAK.cif,5.467586
JILXOS,cifs/JILXOS.cif,1.05485
JITPOS,cifs/JITPOS.cif,3.665429
JIVFUQ,cifs/JIVFUQ.cif,5.23082
JIXWUJ01,cifs/JIXWUJ01.cif,0.038276
JIXWUJ,cifs/JIXWUJ.cif,0.033862
JIYXUL,cifs/JIYXUL.cif,6.177376
JOHFIW,cifs/JOHFIW.cif,5.526831
JUCXEK,cifs/JUCXEK.cif,5.322174
JUTCUW,cifs/JUTCUW.cif,0.003077
KALGAH,cifs/KALGAH.cif,2.00428
KAMZUV,cifs/KAMZUV.cif,0.005688
KANDIO,cifs/KANDIO.cif,0.256444
KANMIX,cifs/KANMIX.cif,0.080657
KASRAZ,cifs/KASRAZ.cif,4.345886
KATDAM,cifs/KATDAM.cif,0.551644
KAVGAQ,cifs/KAVGAQ.cif,3.846692
KAVTUY,cifs/KAVTUY.cif,3.522337
KAWBOB,cifs/KAWBOB.cif,4.130067
KAXQIL,cifs/KAXQIL.cif,0.227752
KEDQAN,cifs/KEDQAN.cif,0.048035
KEFBEE,cifs/KEFBEE.cif,5.978952
KEFBOO,cifs/KEFBOO.cif,5.903456
KEJBOQ,cifs/KEJBOQ.cif,3.322651
KEJHIQ,cifs/KEJHIQ.cif,3.576834
KESGAS,cifs/KESGAS.cif,0.652593
